Orthogroup,A. terricola,I. cascadensis 1,I. cascadensis 2,D. discoideum,V. vermiformis,Total,incendi_only,not_incendi,both_incendi,incendi_only,both_incendi_only
OG0000376,0,15,1,0,0,16,16,0,TRUE,TRUE,TRUE
OG0000377,0,8,8,0,0,16,16,0,TRUE,TRUE,TRUE
OG0000378,0,6,10,0,0,16,16,0,TRUE,TRUE,TRUE
OG0000379,0,8,7,0,1,16,15,1,TRUE,FALSE,FALSE
OG0000380,0,4,12,0,0,16,16,0,TRUE,TRUE,TRUE
OG0000381,0,4,7,0,5,16,11,5,TRUE,FALSE,FALSE
OG0000382,0,2,14,0,0,16,16,0,TRUE,TRUE,TRUE
OG0000383,0,7,6,0,3,16,13,3,TRUE,FALSE,FALSE
OG0000384,0,0,0,15,1,16,0,16,FALSE,FALSE,FALSE
OG0000385,0,0,0,16,0,16,0,16,FALSE,FALSE,FALSE
OG0000386,0,0,0,16,0,16,0,16,FALSE,FALSE,FALSE
OG0000387,0,0,0,0,16,16,0,16,FALSE,FALSE,FALSE
OG0000388,0,0,0,0,16,16,0,16,FALSE,FALSE,FALSE
OG0000389,0,0,0,0,16,16,0,16,FALSE,FALSE,FALSE
OG0000390,0,0,0,0,16,16,0,16,FALSE,FALSE,FALSE
OG0000391,0,0,0,0,16,16,0,16,FALSE,FALSE,FALSE
OG0000392,0,0,0,0,16,16,0,16,FALSE,FALSE,FALSE
OG0000393,5,2,2,3,3,15,4,11,TRUE,FALSE,FALSE
OG0000394,15,0,0,0,0,15,0,15,FALSE,FALSE,FALSE
OG0000395,1,3,1,1,9,15,4,11,TRUE,FALSE,FALSE
OG0000396,5,4,2,2,2,15,6,9,TRUE,FALSE,FALSE
OG0000397,5,3,3,1,3,15,6,9,TRUE,FALSE,FALSE
OG0000398,3,3,2,3,4,15,5,10,TRUE,FALSE,FALSE
OG0000399,4,3,3,2,3,15,6,9,TRUE,FALSE,FALSE
OG0000400,5,2,1,2,5,15,3,12,TRUE,FALSE,FALSE
OG0000401,15,0,0,0,0,15,0,15,FALSE,FALSE,FALSE
OG0000402,4,2,2,3,4,15,4,11,TRUE,FALSE,FALSE
OG0000403,4,4,2,2,3,15,6,9,TRUE,FALSE,FALSE
OG0000404,4,2,3,2,4,15,5,10,TRUE,FALSE,FALSE
OG0000405,5,2,2,2,4,15,4,11,TRUE,FALSE,FALSE
OG0000406,3,4,2,1,5,15,6,9,TRUE,FALSE,FALSE
OG0000407,6,3,3,1,2,15,6,9,TRUE,FALSE,FALSE
OG0000408,2,3,4,2,4,15,7,8,TRUE,FALSE,FALSE
OG0000409,1,3,2,3,6,15,5,10,TRUE,FALSE,FALSE
OG0000410,0,2,13,0,0,15,15,0,TRUE,TRUE,TRUE
OG0000411,0,3,12,0,0,15,15,0,TRUE,TRUE,TRUE
OG0000412,0,2,13,0,0,15,15,0,TRUE,TRUE,TRUE
OG0000413,0,1,14,0,0,15,15,0,TRUE,TRUE,TRUE
OG0000414,0,7,8,0,0,15,15,0,TRUE,TRUE,TRUE
OG0000415,0,8,7,0,0,15,15,0,TRUE,TRUE,TRUE
OG0000416,0,14,1,0,0,15,15,0,TRUE,TRUE,TRUE
OG0000417,0,13,2,0,0,15,15,0,TRUE,TRUE,TRUE
OG0000418,0,2,1,1,11,15,3,12,TRUE,FALSE,FALSE
OG0000419,0,3,3,1,8,15,6,9,TRUE,FALSE,FALSE
OG0000420,0,15,0,0,0,15,15,0,FALSE,TRUE,FALSE
OG0000421,0,8,7,0,0,15,15,0,TRUE,TRUE,TRUE
OG0000422,0,2,13,0,0,15,15,0,TRUE,TRUE,TRUE
OG0000423,0,5,8,1,1,15,13,2,TRUE,FALSE,FALSE
OG0000424,0,1,2,0,12,15,3,12,TRUE,FALSE,FALSE
OG0000425,0,1,14,0,0,15,15,0,TRUE,TRUE,TRUE
OG0000426,0,0,15,0,0,15,15,0,FALSE,TRUE,FALSE
OG0000427,0,0,0,15,0,15,0,15,FALSE,FALSE,FALSE
OG0000428,0,0,0,15,0,15,0,15,FALSE,FALSE,FALSE
OG0000429,0,0,0,15,0,15,0,15,FALSE,FALSE,FALSE
OG0000430,0,0,0,0,15,15,0,15,FALSE,FALSE,FALSE
OG0000431,0,0,0,0,15,15,0,15,FALSE,FALSE,FALSE
OG0000432,0,0,0,0,15,15,0,15,FALSE,FALSE,FALSE
OG0000433,0,0,0,0,15,15,0,15,FALSE,FALSE,FALSE
OG0000434,0,0,0,0,15,15,0,15,FALSE,FALSE,FALSE
OG0000435,4,2,4,2,2,14,6,8,TRUE,FALSE,FALSE
OG0000436,4,2,2,2,4,14,4,10,TRUE,FALSE,FALSE
OG0000437,14,0,0,0,0,14,0,14,FALSE,FALSE,FALSE
OG0000438,2,4,3,2,3,14,7,7,TRUE,FALSE,FALSE
OG0000439,5,2,2,1,4,14,4,10,TRUE,FALSE,FALSE
OG0000440,2,4,4,2,2,14,8,6,TRUE,FALSE,FALSE
OG0000441,5,2,1,2,4,14,3,11,TRUE,FALSE,FALSE
OG0000442,2,5,3,1,3,14,8,6,TRUE,FALSE,FALSE
OG0000443,1,4,4,2,3,14,8,6,TRUE,FALSE,FALSE
OG0000444,6,2,2,2,2,14,4,10,TRUE,FALSE,FALSE
OG0000445,1,3,3,2,5,14,6,8,TRUE,FALSE,FALSE
OG0000446,4,0,0,3,7,14,0,14,FALSE,FALSE,FALSE
OG0000447,3,2,2,0,7,14,4,10,TRUE,FALSE,FALSE
OG0000448,2,2,2,4,4,14,4,10,TRUE,FALSE,FALSE
OG0000449,14,0,0,0,0,14,0,14,FALSE,FALSE,FALSE
OG0000450,3,3,3,1,4,14,6,8,TRUE,FALSE,FALSE
OG0000451,1,8,4,1,0,14,12,2,TRUE,FALSE,FALSE
OG0000452,1,3,3,1,6,14,6,8,TRUE,FALSE,FALSE
OG0000453,4,2,2,1,5,14,4,10,TRUE,FALSE,FALSE
OG0000454,2,0,0,0,12,14,0,14,FALSE,FALSE,FALSE
OG0000455,5,3,2,2,2,14,5,9,TRUE,FALSE,FALSE
OG0000456,1,2,0,2,9,14,2,12,FALSE,FALSE,FALSE
OG0000457,3,5,1,1,4,14,6,8,TRUE,FALSE,FALSE
OG0000458,3,4,4,2,1,14,8,6,TRUE,FALSE,FALSE
OG0000459,2,2,2,3,5,14,4,10,TRUE,FALSE,FALSE
OG0000460,1,5,4,1,3,14,9,5,TRUE,FALSE,FALSE
OG0000461,1,2,1,2,8,14,3,11,TRUE,FALSE,FALSE
OG0000462,2,5,4,2,1,14,9,5,TRUE,FALSE,FALSE
OG0000463,1,4,2,3,4,14,6,8,TRUE,FALSE,FALSE
OG0000464,1,0,0,0,13,14,0,14,FALSE,FALSE,FALSE
OG0000465,1,1,1,0,11,14,2,12,TRUE,FALSE,FALSE
OG0000466,1,9,4,0,0,14,13,1,TRUE,FALSE,FALSE
OG0000467,0,7,7,0,0,14,14,0,TRUE,TRUE,TRUE
OG0000468,0,7,7,0,0,14,14,0,TRUE,TRUE,TRUE
OG0000469,0,14,0,0,0,14,14,0,FALSE,TRUE,FALSE
OG0000470,0,2,12,0,0,14,14,0,TRUE,TRUE,TRUE
OG0000471,0,8,5,0,1,14,13,1,TRUE,FALSE,FALSE
OG0000472,0,4,10,0,0,14,14,0,TRUE,TRUE,TRUE
OG0000473,0,14,0,0,0,14,14,0,FALSE,TRUE,FALSE
OG0000474,0,3,5,1,5,14,8,6,TRUE,FALSE,FALSE
OG0000475,0,6,8,0,0,14,14,0,TRUE,TRUE,TRUE
OG0000476,0,6,8,0,0,14,14,0,TRUE,TRUE,TRUE
OG0000477,0,10,4,0,0,14,14,0,TRUE,TRUE,TRUE
OG0000478,0,5,4,4,1,14,9,5,TRUE,FALSE,FALSE
OG0000479,0,7,7,0,0,14,14,0,TRUE,TRUE,TRUE
OG0000480,0,1,13,0,0,14,14,0,TRUE,TRUE,TRUE
OG0000481,0,0,14,0,0,14,14,0,FALSE,TRUE,FALSE
OG0000482,0,0,14,0,0,14,14,0,FALSE,TRUE,FALSE
OG0000483,0,0,0,7,7,14,0,14,FALSE,FALSE,FALSE
OG0000484,0,0,0,14,0,14,0,14,FALSE,FALSE,FALSE
OG0000485,0,0,0,14,0,14,0,14,FALSE,FALSE,FALSE
OG0000486,0,0,0,14,0,14,0,14,FALSE,FALSE,FALSE
OG0000487,0,0,0,14,0,14,0,14,FALSE,FALSE,FALSE
OG0000488,0,0,0,14,0,14,0,14,FALSE,FALSE,FALSE
OG0000489,0,0,0,0,14,14,0,14,FALSE,FALSE,FALSE
OG0000490,0,0,0,0,14,14,0,14,FALSE,FALSE,FALSE
OG0000491,0,0,0,0,14,14,0,14,FALSE,FALSE,FALSE
OG0000492,0,0,0,0,14,14,0,14,FALSE,FALSE,FALSE
OG0000493,0,0,0,0,14,14,0,14,FALSE,FALSE,FALSE
OG0000494,0,0,0,0,14,14,0,14,FALSE,FALSE,FALSE
OG0000495,0,0,0,0,14,14,0,14,FALSE,FALSE,FALSE
OG0000496,0,0,0,0,14,14,0,14,FALSE,FALSE,FALSE
OG0000497,0,0,0,0,14,14,0,14,FALSE,FALSE,FALSE
OG0000498,0,0,0,0,14,14,0,14,FALSE,FALSE,FALSE
OG0000499,0,0,0,0,14,14,0,14,FALSE,FALSE,FALSE
OG0000500,0,0,0,0,14,14,0,14,FALSE,FALSE,FALSE
OG0000501,4,1,3,2,3,13,4,9,TRUE,FALSE,FALSE
OG0000502,1,2,2,3,5,13,4,9,TRUE,FALSE,FALSE
OG0000503,4,2,2,3,2,13,4,9,TRUE,FALSE,FALSE
OG0000504,5,0,0,0,8,13,0,13,FALSE,FALSE,FALSE
OG0000505,3,2,2,3,3,13,4,9,TRUE,FALSE,FALSE
OG0000506,1,4,3,2,3,13,7,6,TRUE,FALSE,FALSE
OG0000507,1,4,3,2,3,13,7,6,TRUE,FALSE,FALSE
OG0000508,11,0,0,0,2,13,0,13,FALSE,FALSE,FALSE
OG0000509,3,2,1,3,4,13,3,10,TRUE,FALSE,FALSE
OG0000510,2,3,4,1,3,13,7,6,TRUE,FALSE,FALSE
OG0000511,3,4,3,1,2,13,7,6,TRUE,FALSE,FALSE
OG0000512,3,3,4,1,2,13,7,6,TRUE,FALSE,FALSE
OG0000513,13,0,0,0,0,13,0,13,FALSE,FALSE,FALSE
OG0000514,13,0,0,0,0,13,0,13,FALSE,FALSE,FALSE
OG0000515,1,4,3,2,3,13,7,6,TRUE,FALSE,FALSE
OG0000516,13,0,0,0,0,13,0,13,FALSE,FALSE,FALSE
OG0000517,2,2,2,5,2,13,4,9,TRUE,FALSE,FALSE
OG0000518,3,1,1,3,5,13,2,11,TRUE,FALSE,FALSE
OG0000519,2,2,2,5,2,13,4,9,TRUE,FALSE,FALSE
OG0000520,5,1,1,3,3,13,2,11,TRUE,FALSE,FALSE
OG0000521,1,0,0,0,12,13,0,13,FALSE,FALSE,FALSE
OG0000522,2,5,5,0,1,13,10,3,TRUE,FALSE,FALSE
OG0000523,7,0,0,0,6,13,0,13,FALSE,FALSE,FALSE
OG0000524,4,1,1,3,4,13,2,11,TRUE,FALSE,FALSE
OG0000525,3,2,2,1,5,13,4,9,TRUE,FALSE,FALSE
OG0000526,3,3,3,2,2,13,6,7,TRUE,FALSE,FALSE
OG0000527,4,2,2,3,2,13,4,9,TRUE,FALSE,FALSE
OG0000528,3,2,1,5,2,13,3,10,TRUE,FALSE,FALSE
OG0000529,1,5,4,2,1,13,9,4,TRUE,FALSE,FALSE
OG0000530,3,3,2,1,4,13,5,8,TRUE,FALSE,FALSE
OG0000531,4,2,2,2,3,13,4,9,TRUE,FALSE,FALSE
OG0000532,5,1,1,1,5,13,2,11,TRUE,FALSE,FALSE
OG0000533,1,2,2,5,3,13,4,9,TRUE,FALSE,FALSE
OG0000534,1,5,3,2,2,13,8,5,TRUE,FALSE,FALSE
OG0000535,2,3,3,0,5,13,6,7,TRUE,FALSE,FALSE
OG0000536,1,3,2,1,6,13,5,8,TRUE,FALSE,FALSE
OG0000537,2,2,5,2,2,13,7,6,TRUE,FALSE,FALSE
OG0000538,3,3,5,1,1,13,8,5,TRUE,FALSE,FALSE
OG0000539,6,2,2,1,2,13,4,9,TRUE,FALSE,FALSE
OG0000540,2,2,3,3,3,13,5,8,TRUE,FALSE,FALSE
OG0000541,2,3,2,2,4,13,5,8,TRUE,FALSE,FALSE
OG0000542,1,1,1,0,10,13,2,11,TRUE,FALSE,FALSE
OG0000543,5,3,1,1,3,13,4,9,TRUE,FALSE,FALSE
OG0000544,2,0,0,0,11,13,0,13,FALSE,FALSE,FALSE
OG0000545,2,5,2,2,2,13,7,6,TRUE,FALSE,FALSE
OG0000546,5,2,2,2,2,13,4,9,TRUE,FALSE,FALSE
OG0000547,2,3,2,4,2,13,5,8,TRUE,FALSE,FALSE
OG0000548,1,2,3,1,6,13,5,8,TRUE,FALSE,FALSE
OG0000549,1,2,1,7,2,13,3,10,TRUE,FALSE,FALSE
OG0000550,1,0,0,12,0,13,0,13,FALSE,FALSE,FALSE
OG0000551,2,1,1,1,8,13,2,11,TRUE,FALSE,FALSE
OG0000552,1,2,4,1,5,13,6,7,TRUE,FALSE,FALSE
OG0000553,2,3,2,4,2,13,5,8,TRUE,FALSE,FALSE
OG0000554,1,1,2,3,6,13,3,10,TRUE,FALSE,FALSE
OG0000555,0,2,11,0,0,13,13,0,TRUE,TRUE,TRUE
OG0000556,0,10,3,0,0,13,13,0,TRUE,TRUE,TRUE
OG0000557,0,12,1,0,0,13,13,0,TRUE,TRUE,TRUE
OG0000558,0,5,6,0,2,13,11,2,TRUE,FALSE,FALSE
OG0000559,0,9,4,0,0,13,13,0,TRUE,TRUE,TRUE
OG0000560,0,2,5,3,3,13,7,6,TRUE,FALSE,FALSE
OG0000561,0,6,7,0,0,13,13,0,TRUE,TRUE,TRUE
OG0000562,0,11,2,0,0,13,13,0,TRUE,TRUE,TRUE
OG0000563,0,10,3,0,0,13,13,0,TRUE,TRUE,TRUE
OG0000564,0,6,7,0,0,13,13,0,TRUE,TRUE,TRUE
OG0000565,0,6,7,0,0,13,13,0,TRUE,TRUE,TRUE
OG0000566,0,3,3,2,5,13,6,7,TRUE,FALSE,FALSE
OG0000567,0,2,11,0,0,13,13,0,TRUE,TRUE,TRUE
OG0000568,0,7,6,0,0,13,13,0,TRUE,TRUE,TRUE
OG0000569,0,5,8,0,0,13,13,0,TRUE,TRUE,TRUE
OG0000570,0,0,13,0,0,13,13,0,FALSE,TRUE,FALSE
OG0000571,0,0,0,13,0,13,0,13,FALSE,FALSE,FALSE
OG0000572,0,0,0,13,0,13,0,13,FALSE,FALSE,FALSE
OG0000573,0,0,0,13,0,13,0,13,FALSE,FALSE,FALSE
OG0000574,0,0,0,13,0,13,0,13,FALSE,FALSE,FALSE
OG0000575,0,0,0,13,0,13,0,13,FALSE,FALSE,FALSE
OG0000576,0,0,0,13,0,13,0,13,FALSE,FALSE,FALSE
OG0000577,0,0,0,13,0,13,0,13,FALSE,FALSE,FALSE
OG0000578,0,0,0,13,0,13,0,13,FALSE,FALSE,FALSE
OG0000579,0,0,0,0,13,13,0,13,FALSE,FALSE,FALSE
OG0000580,0,0,0,0,13,13,0,13,FALSE,FALSE,FALSE
OG0000581,0,0,0,0,13,13,0,13,FALSE,FALSE,FALSE
OG0000582,0,0,0,0,13,13,0,13,FALSE,FALSE,FALSE
OG0000583,0,0,0,0,13,13,0,13,FALSE,FALSE,FALSE
OG0000584,0,0,0,0,13,13,0,13,FALSE,FALSE,FALSE
OG0000585,0,0,0,0,13,13,0,13,FALSE,FALSE,FALSE
OG0000586,0,0,0,0,13,13,0,13,FALSE,FALSE,FALSE
OG0000587,0,0,0,0,13,13,0,13,FALSE,FALSE,FALSE
OG0000588,0,0,0,0,13,13,0,13,FALSE,FALSE,FALSE
OG0000589,0,0,0,0,13,13,0,13,FALSE,FALSE,FALSE
OG0000590,0,0,0,0,13,13,0,13,FALSE,FALSE,FALSE
OG0000591,0,0,0,0,13,13,0,13,FALSE,FALSE,FALSE
OG0000592,4,1,2,2,3,12,3,9,TRUE,FALSE,FALSE
OG0000593,5,2,1,2,2,12,3,9,TRUE,FALSE,FALSE
OG0000594,4,2,2,2,2,12,4,8,TRUE,FALSE,FALSE
OG0000595,3,2,2,2,3,12,4,8,TRUE,FALSE,FALSE
OG0000596,3,3,3,2,1,12,6,6,TRUE,FALSE,FALSE
OG0000597,4,1,1,0,6,12,2,10,TRUE,FALSE,FALSE
OG0000598,5,0,0,3,4,12,0,12,FALSE,FALSE,FALSE
OG0000599,4,1,1,1,5,12,2,10,TRUE,FALSE,FALSE
OG0000600,3,4,3,1,1,12,7,5,TRUE,FALSE,FALSE
OG0000601,9,1,0,1,1,12,1,11,FALSE,FALSE,FALSE
OG0000602,3,2,3,2,2,12,5,7,TRUE,FALSE,FALSE
OG0000603,12,0,0,0,0,12,0,12,FALSE,FALSE,FALSE
OG0000604,6,1,2,2,1,12,3,9,TRUE,FALSE,FALSE
OG0000605,3,0,0,1,8,12,0,12,FALSE,FALSE,FALSE
OG0000606,1,3,3,1,4,12,6,6,TRUE,FALSE,FALSE
OG0000607,3,3,1,2,3,12,4,8,TRUE,FALSE,FALSE
OG0000608,4,2,3,3,0,12,5,7,TRUE,FALSE,FALSE
OG0000609,12,0,0,0,0,12,0,12,FALSE,FALSE,FALSE
OG0000610,10,0,0,2,0,12,0,12,FALSE,FALSE,FALSE
OG0000611,5,2,1,3,1,12,3,9,TRUE,FALSE,FALSE
OG0000612,2,3,2,2,3,12,5,7,TRUE,FALSE,FALSE
OG0000613,3,2,2,2,3,12,4,8,TRUE,FALSE,FALSE
OG0000614,4,1,1,4,2,12,2,10,TRUE,FALSE,FALSE
OG0000615,2,1,1,2,6,12,2,10,TRUE,FALSE,FALSE
OG0000616,3,5,1,1,2,12,6,6,TRUE,FALSE,FALSE
OG0000617,2,2,3,3,2,12,5,7,TRUE,FALSE,FALSE
OG0000618,2,3,2,3,2,12,5,7,TRUE,FALSE,FALSE
OG0000619,4,3,2,1,2,12,5,7,TRUE,FALSE,FALSE
OG0000620,2,2,1,3,4,12,3,9,TRUE,FALSE,FALSE
OG0000621,12,0,0,0,0,12,0,12,FALSE,FALSE,FALSE
OG0000622,1,4,3,1,3,12,7,5,TRUE,FALSE,FALSE
OG0000623,4,2,2,3,1,12,4,8,TRUE,FALSE,FALSE
OG0000624,12,0,0,0,0,12,0,12,FALSE,FALSE,FALSE
OG0000625,4,1,1,2,4,12,2,10,TRUE,FALSE,FALSE
OG0000626,3,3,2,1,3,12,5,7,TRUE,FALSE,FALSE
OG0000627,2,2,2,3,3,12,4,8,TRUE,FALSE,FALSE
OG0000628,1,6,5,0,0,12,11,1,TRUE,FALSE,FALSE
OG0000629,2,2,5,1,2,12,7,5,TRUE,FALSE,FALSE
OG0000630,12,0,0,0,0,12,0,12,FALSE,FALSE,FALSE
OG0000631,3,2,2,3,2,12,4,8,TRUE,FALSE,FALSE
OG0000632,4,2,2,1,3,12,4,8,TRUE,FALSE,FALSE
OG0000633,2,3,2,1,4,12,5,7,TRUE,FALSE,FALSE
OG0000634,5,0,0,6,1,12,0,12,FALSE,FALSE,FALSE
OG0000635,2,3,3,1,3,12,6,6,TRUE,FALSE,FALSE
OG0000636,2,0,0,1,9,12,0,12,FALSE,FALSE,FALSE
OG0000637,1,3,3,1,4,12,6,6,TRUE,FALSE,FALSE
OG0000638,2,3,3,2,2,12,6,6,TRUE,FALSE,FALSE
OG0000639,4,1,1,4,2,12,2,10,TRUE,FALSE,FALSE
OG0000640,2,2,1,3,4,12,3,9,TRUE,FALSE,FALSE
OG0000641,6,1,1,3,1,12,2,10,TRUE,FALSE,FALSE
OG0000642,4,2,2,2,2,12,4,8,TRUE,FALSE,FALSE
OG0000643,5,2,1,2,2,12,3,9,TRUE,FALSE,FALSE
OG0000644,1,3,2,4,2,12,5,7,TRUE,FALSE,FALSE
OG0000645,1,5,3,1,2,12,8,4,TRUE,FALSE,FALSE
OG0000646,2,2,3,2,3,12,5,7,TRUE,FALSE,FALSE
OG0000647,2,2,2,3,3,12,4,8,TRUE,FALSE,FALSE
OG0000648,12,0,0,0,0,12,0,12,FALSE,FALSE,FALSE
OG0000649,3,2,2,1,4,12,4,8,TRUE,FALSE,FALSE
OG0000650,3,2,2,1,4,12,4,8,TRUE,FALSE,FALSE
OG0000651,4,2,2,1,3,12,4,8,TRUE,FALSE,FALSE
OG0000652,2,3,3,2,2,12,6,6,TRUE,FALSE,FALSE
OG0000653,1,4,3,1,3,12,7,5,TRUE,FALSE,FALSE
OG0000654,1,3,4,1,3,12,7,5,TRUE,FALSE,FALSE
OG0000655,4,2,4,1,1,12,6,6,TRUE,FALSE,FALSE
OG0000656,4,2,2,3,1,12,4,8,TRUE,FALSE,FALSE
OG0000657,2,3,3,1,3,12,6,6,TRUE,FALSE,FALSE
OG0000658,3,3,3,1,2,12,6,6,TRUE,FALSE,FALSE
OG0000659,4,3,2,1,2,12,5,7,TRUE,FALSE,FALSE
OG0000660,3,3,2,1,3,12,5,7,TRUE,FALSE,FALSE
OG0000661,2,4,3,1,2,12,7,5,TRUE,FALSE,FALSE
OG0000662,1,0,0,1,10,12,0,12,FALSE,FALSE,FALSE
OG0000663,0,6,6,0,0,12,12,0,TRUE,TRUE,TRUE
OG0000664,0,10,2,0,0,12,12,0,TRUE,TRUE,TRUE
OG0000665,0,9,3,0,0,12,12,0,TRUE,TRUE,TRUE
OG0000666,0,6,6,0,0,12,12,0,TRUE,TRUE,TRUE
OG0000667,0,4,5,0,3,12,9,3,TRUE,FALSE,FALSE
OG0000668,0,4,8,0,0,12,12,0,TRUE,TRUE,TRUE
OG0000669,0,8,4,0,0,12,12,0,TRUE,TRUE,TRUE
OG0000670,0,9,3,0,0,12,12,0,TRUE,TRUE,TRUE
OG0000671,0,8,4,0,0,12,12,0,TRUE,TRUE,TRUE
OG0000672,0,10,2,0,0,12,12,0,TRUE,TRUE,TRUE
OG0000673,0,5,7,0,0,12,12,0,TRUE,TRUE,TRUE
OG0000674,0,2,5,2,3,12,7,5,TRUE,FALSE,FALSE
OG0000675,0,9,3,0,0,12,12,0,TRUE,TRUE,TRUE
OG0000676,0,6,5,0,1,12,11,1,TRUE,FALSE,FALSE
OG0000677,0,4,8,0,0,12,12,0,TRUE,TRUE,TRUE
OG0000678,0,5,7,0,0,12,12,0,TRUE,TRUE,TRUE
OG0000679,0,2,10,0,0,12,12,0,TRUE,TRUE,TRUE
OG0000680,0,6,6,0,0,12,12,0,TRUE,TRUE,TRUE
OG0000681,0,6,6,0,0,12,12,0,TRUE,TRUE,TRUE
OG0000682,0,1,11,0,0,12,12,0,TRUE,TRUE,TRUE
OG0000683,0,1,1,0,10,12,2,10,TRUE,FALSE,FALSE
OG0000684,0,1,1,6,4,12,2,10,TRUE,FALSE,FALSE
OG0000685,0,2,2,3,5,12,4,8,TRUE,FALSE,FALSE
OG0000686,0,1,11,0,0,12,12,0,TRUE,TRUE,TRUE
OG0000687,0,1,11,0,0,12,12,0,TRUE,TRUE,TRUE
OG0000688,0,1,11,0,0,12,12,0,TRUE,TRUE,TRUE
OG0000689,0,0,12,0,0,12,12,0,FALSE,TRUE,FALSE
OG0000690,0,0,0,12,0,12,0,12,FALSE,FALSE,FALSE
OG0000691,0,0,0,12,0,12,0,12,FALSE,FALSE,FALSE
OG0000692,0,0,0,12,0,12,0,12,FALSE,FALSE,FALSE
OG0000693,0,0,0,12,0,12,0,12,FALSE,FALSE,FALSE
OG0000694,0,0,0,12,0,12,0,12,FALSE,FALSE,FALSE
OG0000695,0,0,0,12,0,12,0,12,FALSE,FALSE,FALSE
OG0000696,0,0,0,12,0,12,0,12,FALSE,FALSE,FALSE
OG0000697,0,0,0,1,11,12,0,12,FALSE,FALSE,FALSE
OG0000698,0,0,0,0,12,12,0,12,FALSE,FALSE,FALSE
OG0000699,0,0,0,0,12,12,0,12,FALSE,FALSE,FALSE
OG0000700,0,0,0,0,12,12,0,12,FALSE,FALSE,FALSE
OG0000701,0,0,0,0,12,12,0,12,FALSE,FALSE,FALSE
OG0000702,0,0,0,0,12,12,0,12,FALSE,FALSE,FALSE
OG0000703,0,0,0,0,12,12,0,12,FALSE,FALSE,FALSE
OG0000704,0,0,0,0,12,12,0,12,FALSE,FALSE,FALSE
OG0000705,0,0,0,0,12,12,0,12,FALSE,FALSE,FALSE
OG0000706,0,0,0,0,12,12,0,12,FALSE,FALSE,FALSE
OG0000707,0,0,0,0,12,12,0,12,FALSE,FALSE,FALSE
OG0000708,0,0,0,0,12,12,0,12,FALSE,FALSE,FALSE
OG0000709,0,0,0,0,12,12,0,12,FALSE,FALSE,FALSE
OG0000710,0,0,0,0,12,12,0,12,FALSE,FALSE,FALSE
OG0000711,0,0,0,0,12,12,0,12,FALSE,FALSE,FALSE
OG0000712,0,0,0,0,12,12,0,12,FALSE,FALSE,FALSE
OG0000713,11,0,0,0,0,11,0,11,FALSE,FALSE,FALSE
OG0000714,4,1,1,3,2,11,2,9,TRUE,FALSE,FALSE
OG0000715,2,3,3,0,3,11,6,5,TRUE,FALSE,FALSE
OG0000716,3,1,1,3,3,11,2,9,TRUE,FALSE,FALSE
OG0000717,2,3,3,1,2,11,6,5,TRUE,FALSE,FALSE
OG0000718,6,1,1,1,2,11,2,9,TRUE,FALSE,FALSE
OG0000719,1,5,1,3,1,11,6,5,TRUE,FALSE,FALSE
OG0000720,2,1,1,7,0,11,2,9,TRUE,FALSE,FALSE
OG0000721,4,2,1,1,3,11,3,8,TRUE,FALSE,FALSE
OG0000722,2,3,3,1,2,11,6,5,TRUE,FALSE,FALSE
OG0000723,2,1,1,3,4,11,2,9,TRUE,FALSE,FALSE
OG0000724,1,3,3,2,2,11,6,5,TRUE,FALSE,FALSE
OG0000725,4,3,1,1,2,11,4,7,TRUE,FALSE,FALSE
OG0000726,2,1,2,4,2,11,3,8,TRUE,FALSE,FALSE
OG0000727,7,1,1,1,1,11,2,9,TRUE,FALSE,FALSE
OG0000728,2,2,4,1,2,11,6,5,TRUE,FALSE,FALSE
OG0000729,3,2,1,2,3,11,3,8,TRUE,FALSE,FALSE
OG0000730,3,2,1,3,2,11,3,8,TRUE,FALSE,FALSE
OG0000731,4,2,2,1,2,11,4,7,TRUE,FALSE,FALSE
OG0000732,3,1,2,2,3,11,3,8,TRUE,FALSE,FALSE
OG0000733,11,0,0,0,0,11,0,11,FALSE,FALSE,FALSE
OG0000734,2,3,2,2,2,11,5,6,TRUE,FALSE,FALSE
OG0000735,3,3,2,1,2,11,5,6,TRUE,FALSE,FALSE
OG0000736,2,4,2,0,3,11,6,5,TRUE,FALSE,FALSE
OG0000737,11,0,0,0,0,11,0,11,FALSE,FALSE,FALSE
OG0000738,2,1,1,2,5,11,2,9,TRUE,FALSE,FALSE
OG0000739,2,3,2,2,2,11,5,6,TRUE,FALSE,FALSE
OG0000740,1,3,2,1,4,11,5,6,TRUE,FALSE,FALSE
OG0000741,4,2,1,2,2,11,3,8,TRUE,FALSE,FALSE
OG0000742,1,2,1,2,5,11,3,8,TRUE,FALSE,FALSE
OG0000743,2,2,2,3,2,11,4,7,TRUE,FALSE,FALSE
OG0000744,4,1,4,1,1,11,5,6,TRUE,FALSE,FALSE
OG0000745,3,2,2,1,3,11,4,7,TRUE,FALSE,FALSE
OG0000746,2,4,2,0,3,11,6,5,TRUE,FALSE,FALSE
OG0000747,5,1,1,1,3,11,2,9,TRUE,FALSE,FALSE
OG0000748,2,2,1,4,2,11,3,8,TRUE,FALSE,FALSE
OG0000749,1,2,1,5,2,11,3,8,TRUE,FALSE,FALSE
OG0000750,8,0,0,1,2,11,0,11,FALSE,FALSE,FALSE
OG0000751,2,2,1,4,2,11,3,8,TRUE,FALSE,FALSE
