Orthogroup	acastellanii_braker	vvermcdc19_braker
OG0000249	acastellanii_g1364.t1, acastellanii_g1371.t1, acastellanii_g3426.t1, acastellanii_g3426.t2, acastellanii_g1368.t1, acastellanii_g9522.t1, acastellanii_g6629.t1, acastellanii_g12960.t1, acastellanii_g7474.t1, acastellanii_g5885.t3, acastellanii_g5885.t1, acastellanii_g5885.t2	vverm_g7619.t1
OG0000250	acastellanii_g7819.t1, acastellanii_g5723.t1, acastellanii_g5719.t1, acastellanii_g6840.t1, acastellanii_g12558.t1, acastellanii_g9806.t1, acastellanii_g9807.t1	vverm_g10166.t1, vverm_g3615.t2, vverm_g3615.t1, vverm_g5361.t2, vverm_g5361.t1
OG0000251	acastellanii_g12113.t1, acastellanii_g12113.t2, acastellanii_g3731.t1	vverm_g410.t1
OG0000252	acastellanii_g4789.t1	vverm_g3360.t1
OG0000252	acastellanii_g11673.t1, acastellanii_g7450.t1	vverm_g15598.t1
OG0000254	acastellanii_g11138.t1	vverm_g12376.t1
OG0000255	acastellanii_g10126.t2, acastellanii_g10126.t1	vverm_g16470.t1, vverm_g15833.t2, vverm_g15833.t1, vverm_g15833.t3, vverm_g15834.t1, vverm_g5947.t1, vverm_g5947.t2
OG0000256	acastellanii_g7294.t1, acastellanii_g10175.t2, acastellanii_g10175.t1, acastellanii_g10175.t3	vverm_g16473.t1, vverm_g11916.t1, vverm_g12479.t1, vverm_g13116.t1, vverm_g13126.t1
OG0000256	acastellanii_g363.t1	vverm_g10107.t1
OG0000257	acastellanii_g942.t1	vverm_g13673.t1, vverm_g2710.t1
OG0000257	acastellanii_g3017.t1, acastellanii_g8027.t1	vverm_g10925.t1, vverm_g3292.t1
OG0000257	acastellanii_g3279.t1	vverm_g8751.t1
OG0000258	acastellanii_g7437.t1	vverm_g1850.t1, vverm_g9339.t1, vverm_g15104.t1, vverm_g13901.t1, vverm_g6755.t1, vverm_g14880.t1, vverm_g13588.t1, vverm_g9234.t1, vverm_g6484.t1, vverm_g5509.t1, vverm_g13587.t1, vverm_g16450.t1, vverm_g16450.t2, vverm_g7708.t1
OG0000259	acastellanii_g4710.t1	vverm_g892.t2, vverm_g892.t1
OG0000271	acastellanii_g8099.t1	vverm_g11194.t1
OG0000271	acastellanii_g10453.t1	vverm_g16664.t1
OG0000272	acastellanii_g13228.t1, acastellanii_g6734.t1	vverm_g16797.t1, vverm_g16796.t1, vverm_g4794.t1, vverm_g4794.t2, vverm_g5225.t1, vverm_g8915.t1, vverm_g8521.t1, vverm_g15801.t1, vverm_g9256.t2, vverm_g9256.t1, vverm_g7078.t1, vverm_g2863.t1, vverm_g14152.t1, vverm_g2116.t1
OG0000273	acastellanii_g7821.t1, acastellanii_g13411.t1, acastellanii_g13410.t1, acastellanii_g13408.t1, acastellanii_g9457.t1, acastellanii_g4445.t1, acastellanii_g9606.t1, acastellanii_g385.t1, acastellanii_g6963.t1, acastellanii_g5688.t1, acastellanii_g5688.t2, acastellanii_g11942.t1, acastellanii_g1981.t1, acastellanii_g11292.t1, acastellanii_g11952.t1, acastellanii_g11963.t1, acastellanii_g9474.t1, acastellanii_g9474.t2	vverm_g5487.t1
OG0000274	acastellanii_g8189.t1, acastellanii_g12742.t1, acastellanii_g3847.t1	vverm_g8108.t1, vverm_g3290.t1, vverm_g3324.t1, vverm_g4714.t1, vverm_g3693.t1, vverm_g16901.t1, vverm_g5326.t1, vverm_g6630.t1
